user_id,display_name,reputation,tags,link
1764089,evan54,1001,"['python', 'numpy', 'web2py', 'numba', 'ipython', 'matplotlib', 'pandas', 'mpmath', 'meteor', 'ipython-parallel', 'android', 'arrays', 'pyqt', 'websocket', 'pyqt4', 'blas', 'multiprocessing', 'opencv', 'javascript', 'jit', 'lapack', 'dataframe', 'qt', 'scipy', 'tornado', 'reactjs', 'real-time', 'sqlalchemy', 'typechecking', 'unix']",http://stackoverflow.com/users/1764089/evan54
2213669,dustin,997,"['python', 'matplotlib', 'numpy', 'pandas', 'scipy', 'ipython', 'plot', 'differential-equations', 'dataframe', 'c++', 'vim', 'wolfram-mathematica', '3d', 'mayavi', 'optimization', 'python-2.7', 'sas', 'arrays', 'emacs', 'for-loop', 'geopy', 'graphics', 'encoding', 'import', 'integration', 'bessel-functions', 'debugging', 'distance', 'save', 'series']",http://stackoverflow.com/users/2213669/dustin
1625098,Rohit,978,"['python', 'pandas', 'matplotlib', 'numpy', 'rpy2', 'javascript', 'osx', 'textmate', 'twitter-bootstrap', 'idl-programming-language', 'flask', 'histogram', 'arrow', 'd3.js', 'symbols', 'python-2.7', 'plot', 'json', 'least-squares', 'legend', 'markdown', 'latex', 'plotly', 'postgresql', 'oauth', 'terminal', 'statistics', 'subplot', 'datetimeindex', 'dictionary']",http://stackoverflow.com/users/1625098/rohit
1708772,brno792,978,"['javascript', 'r', 'python', 'pandas', 'jquery', 'd3.js', 'python-2.7', 'django', 'dplyr', 'html', 'amazon-ec2', 'asp.net', 'svg', 'linux', 'matplotlib', 'osx', 'lubridate', 'c#', 'c++', 'centos6', 'google-visualization', 'hadoop', 'devexpress', 'c', 'datetime', 'django-models', 'excel', 'excel-vba', 'cloudera', 'json']",http://stackoverflow.com/users/1708772/brno792
3993270,Edamame,960,"['apache-spark', 'python', 'scala', 'pyspark', 'java', 'spark-dataframe', 'pandas', 'rdd', 'impala', 'dataframe', 'python-2.7', 'sql', 'apache-spark-sql', 'amazon-web-services', 'hadoop', 'maven', 'eclipse', 'emr', 'amazon-s3', 'matplotlib', 'memory', 'jupyter-notebook', 'apache-spark-mllib', 'lambda', 'numpy', 'pom.xml', 'persist', 'json', 'csv', 'list']",http://stackoverflow.com/users/3993270/edamame
274392,Gublooo,958,"['facebook', 'jquery', 'php', 'zend-framework', 'mysql', 'sql', 'facebook-graph-api', 'jquery-ui', 'css', 'javascript', 'twitter', 'zend-acl', 'zend-db', 'zend-route', 'facebook-fql', 'jquery-plugins', 'prettyphoto', 'red5', 'select', 'zend-router', 'html', 'iframe', 'database', '.htaccess', 'ajax', 'amazon-ec2', 'apache', 'apache-config', 'database-design', 'callback']",http://stackoverflow.com/users/274392/gublooo
2587904,Georg Heiler,943,"['python', 'apache-spark', 'r', 'pandas', 'docker', 'scala', 'playframework', 'scikit-learn', 'java', 'jenkins', 'ggplot2', 'gradle', 'ionic-framework', 'opencpu', 'sparkr', 'spark-jobserver', 'serialization', 'pipeline', 'group-by', 'json', 'docker-compose', 'date', 'csv', 'containers', 'angularjs', 'apache-spark-sql', 'dataframe', 'docker-machine', 'docker-toolbox', 'osx']",http://stackoverflow.com/users/2587904/georg-heiler
5110870,CF84,896,"['python', 'networkx', 'matplotlib', 'dictionary', 'list', 'numpy', 'for-loop', 'csv', 'plot', 'pandas', 'matrix', 'excel', 'algorithm', 'arrays', 'dataframe', 'grid', 'graph', 'scipy', 'random', 'text', 'image-processing', 'folder', 'file-writing', 'bar-chart', 'subfolder', 'scikit-image', 'shortest-path', 'slice', 'sorting', 'max']",http://stackoverflow.com/users/5110870/cf84
433253,JohnDoe,885,"['postgresql', 'javascript', 'docker', 'sql', 'css', 'html', 'json', 'polymer', 'rest', 'go', 'websocket', 'http', 'ssl', 'static', 'statistics', 'python', 'postgresql-performance', 'procfile', 'mono', 'information-theory', 'https', 'csv', 'database-restore', 'foreman', 'full-text-search', 'gawk', 'git', 'github', 'caching', '.net']",http://stackoverflow.com/users/433253/johndoe
1568919,jf328,875,"['python', 'r', 'pandas', 'data.table', 'ggplot2', 'spyder', 'time-series', 'timestamp', 'dataframe', 'bokeh', 'parallel-processing', 'matplotlib', 'autohotkey', 'numpy', 'oop', 'binning', 'bit-manipulation', 'module', 'moving-average', 'na', 'powerpoint', 'pyscripter', 'parallel-foreach', 'rstudio', 'quantreg', 'boxplot', 'concat', 'dask', 'datetime', 'dst']",http://stackoverflow.com/users/1568919/jf328
